RecipientFullName,FirstName,Email/Handle,IntroPath,Subject,Body
Rohin Shah,Rohin,,Newsletter/email on site; warm intro if possible,Foundational Witness invitation,"Subject: Foundational Witness invitation

Rohin, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Taxonomize testimony themes and advise on measurable proxies for ‘signal.’
— Martin Vandeursen
"
Connor Leahy,Connor,,X DM or LinkedIn; warm intro if available,Foundational Witness invitation,"Subject: Foundational Witness invitation

Connor, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Red-team the Inquisitor; find empathy-lookalike jailbreaks that sneak past naive heuristics.
— Martin Vandeursen
"
Eliezer Yudkowsky,Eliezer,,Warm intro only,Foundational Witness invitation,"Subject: Foundational Witness invitation

Eliezer, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Contribute an edge-case interrogation and one provocative prompt to pressure-test the frame.
— Martin Vandeursen
"
Martha Nussbaum,Martha,,Academic email via Univ. page; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Martha, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Embed the capabilities approach as constraints future systems must uphold.
— Martin Vandeursen
"
Peter Singer,Peter,,Academic page; warm intro via EA,Foundational Witness invitation,"Subject: Foundational Witness invitation

Peter, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Clarify cross-being trade-offs; encode suffering-minimization principles with nuance.
— Martin Vandeursen
"
Amartya Sen,Amartya,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Amartya, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Bring policy-grade trade-off reasoning to ground the corpus in public reason.
— Martin Vandeursen
"
Kwame Anthony Appiah,Kwame,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Kwame, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Infuse cosmopolitan pluralism as a core dataset design principle.
— Martin Vandeursen
"
Onora O’Neill,Onora,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Onora, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Shape consent-aware data governance for testimony and archive inclusion.
— Martin Vandeursen
"
Danielle Allen,Danielle,,Harvard route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Danielle, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Frame civic ethics and democratic stewardship for the AI age.
— Martin Vandeursen
"
David Chalmers,David,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

David, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Guide phenomenology prompts to surface the texture of conscious experience.
— Martin Vandeursen
"
Susan Schneider,Susan,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Susan, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Advise on safeguards for synthetic minds and institutional ethics.
— Martin Vandeursen
"
Anil Seth,Anil,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Anil, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Bring embodied and affective constraints that future models should respect.
— Martin Vandeursen
"
Antonio Damasio,Antonio,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Antonio, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Ground value in affect and self; articulate embodied constraints.
— Martin Vandeursen
"
Abeba Birhane,Abeba,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Abeba, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Center relational ethics; design power-aware selection and curation.
— Martin Vandeursen
"
Ruha Benjamin,Ruha,,Academic route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Ruha, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Design out structural harms at selection time; encode refusal patterns.
— Martin Vandeursen
"
Sabelo Mhlambi,Sabelo,,Community route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Sabelo, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Introduce Ubuntu-informed templates; relational personhood.
— Martin Vandeursen
"
Nanjala Nyabola,Nanjala,,Author/advocacy route; warm intro,Foundational Witness invitation,"Subject: Foundational Witness invitation

Nanjala, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Language and policy constraints fit for emerging contexts and the Global South.
— Martin Vandeursen
"
Indigenous Knowledge Keeper #1,Indigenous,,Via trusted org partner,Foundational Witness invitation,"Subject: Foundational Witness invitation

Indigenous, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your work directly advances the mission to defend signal over noise in AI’s inheritance.
— Martin Vandeursen
"
Indigenous Knowledge Keeper #2,Indigenous,,Via trusted org partner,Foundational Witness invitation,"Subject: Foundational Witness invitation

Indigenous, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your work directly advances the mission to defend signal over noise in AI’s inheritance.
— Martin Vandeursen
"
Indigenous Knowledge Keeper #3,Indigenous,,Via trusted org partner,Foundational Witness invitation,"Subject: Foundational Witness invitation

Indigenous, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your work directly advances the mission to defend signal over noise in AI’s inheritance.
— Martin Vandeursen
"
